GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Simulado,br.insper.Simulado.jogador,JogadorService,0,96,0,12,0,21,0,10,0,4
Simulado,br.insper.Simulado.jogador,Jogador,23,33,0,0,7,14,2,8,2,8
Simulado,br.insper.Simulado.jogador,JogadorController,15,3,0,0,3,1,3,1,3,1
Simulado,br.insper.Simulado.time,TimeService,12,3,0,0,2,1,1,1,1,1
Simulado,br.insper.Simulado.time,Time,39,14,0,0,16,7,8,4,8,4
Simulado,br.insper.Simulado.time,TimeNaoEncontradaException,0,4,0,0,0,2,0,1,0,1
Simulado,br.insper.Simulado.common,Erro,24,0,0,0,10,0,7,0,7,0
Simulado,br.insper.Simulado,SimuladoApplication,5,3,0,0,2,1,1,1,1,1
